epoch,elapsed_seconds,touched_nodes,exploitability
3074810,3,38567477,0.000377052691
6110921,6,77003647,0.000507620268
9131254,9,115182947,0.000318680790
12156388,12,153305569,0.000338289400
15135452,15,190810422,0.000227236240
18135179,18,228444428,0.000236840838
21149597,21,266368074,0.000152370627
24156787,24,303974071,0.000135427287
27169621,27,341555936,0.000161078770
30211062,30,379598125,0.000129905391
33232898,33,417465941,0.000162893355
36238214,36,455372049,0.000093986175
39285039,39,493692187,0.000170591342
42293680,42,531543473,0.000148929147
45254233,45,568732632,0.000190719049
48258689,48,606503132,0.000201018946
51310060,51,644803629,0.000144026699
54336469,54,682764777,0.000140657165
57324667,57,720224796,0.000130234743
60395082,60,758634452,0.000096615870
63304410,63,794971467,0.000073195400
66314778,66,832762692,0.000096292404
69355001,69,870867104,0.000115341531
72374960,72,908783055,0.000089761879
75287296,75,945299715,0.000039458874
78202770,78,981823566,0.000081306049
81144086,81,1018530688,0.000071955806
84029831,84,1054623301,0.000047006706
86984533,87,1091487851,0.000047440054
89979770,90,1128776261,0.000049823674
92984383,93,1166188592,0.000041594074
95897304,96,1202440328,0.000052664200
98910765,99,1239971027,0.000046434830
101890263,102,1277060387,0.000026758243
104807912,105,1313363254,0.000030063005
107785248,108,1350411427,0.000021616915
110744307,111,1387253529,0.000044703892
113754409,114,1424706366,0.000042496117
116732941,117,1461777534,0.000044458016
119692214,120,1498627692,0.000054198026
122595744,123,1534823265,0.000025371813
125484253,126,1570961515,0.000042403496
128481409,129,1608456076,0.000052712022
131541815,132,1646635398,0.000054119130
134581161,135,1684662843,0.000063710453
137594653,138,1722404341,0.000054618904
140610291,141,1760208244,0.000037720685
143591623,144,1797366511,0.000034636881
146680127,147,1835828320,0.000053626934
149714710,150,1873589739,0.000061263727
152734846,153,1911178257,0.000038485017
155758123,156,1948807703,0.000068528160
158781445,159,1986423494,0.000052072598
161908586,162,2025352682,0.000046132979
164968110,165,2063419744,0.000046728223
168026537,168,2101543833,0.000054563232
171097330,171,2139831765,0.000057904054
174162199,174,2177985465,0.000048566323
177214654,177,2215990054,0.000049808883
180326457,180,2254691284,0.000067253469
183397501,183,2292944205,0.000047262650
186526837,186,2331922880,0.000045988400
189558688,189,2369652874,0.000058589020
192637650,192,2407941918,0.000072286409
195674156,195,2445723186,0.000043795427
198701305,198,2483413845,0.000056916634
201734460,201,2521134648,0.000042106259
204804712,204,2559341768,0.000042833147
207839644,207,2597106380,0.000060158523
210879961,210,2634980486,0.000044528455
213913969,213,2672737887,0.000051155882
216955497,216,2710576000,0.000056379574
220067047,219,2749282081,0.000065164613
223118949,222,2787280439,0.000041603834
226246002,225,2826182258,0.000051227482
229323384,228,2864501214,0.000058480820
232428796,231,2903110448,0.000058177074
235538396,234,2941802074,0.000066484639
238604799,237,2979996000,0.000060815182
241630735,240,3017650061,0.000058993854
244716307,243,3056055722,0.000023294277
247719768,246,3093435070,0.000064367132
250764679,249,3131361028,0.000055597770
253800637,252,3169131647,0.000051522023
256844674,255,3207011067,0.000026277063
259883663,258,3244876505,0.000045627327
262972187,261,3283364102,0.000043464617
266007758,264,3321198189,0.000048558224
269048438,267,3359102774,0.000022245884
272138791,270,3397634315,0.000027321736
275191303,273,3435661253,0.000033821727
278238012,276,3473605807,0.000044320891
281353480,279,3512418350,0.000029490711
284428749,282,3550741310,0.000040151294
287549143,285,3589560163,0.000025550395
290619012,288,3627825898,0.000038036101
293709614,291,3666235409,0.000029588883
296804273,294,3704780166,0.000025693592
299928235,297,3743657235,0.000032008170
302998322,300,3781848464,0.000028008463
