epoch,elapsed_seconds,touched_nodes,exploitability
39036110,72,1099509375,0.000699255784
78499229,144,2202265676,0.000558677504
117898851,216,3306019676,0.000421780670
156858228,288,4405762525,0.000325024336
196598169,360,5511039072,0.000443442773
235575133,432,6612485381,0.000363927024
274110074,504,7705076108,0.000382703660
313231451,576,8803446104,0.000265149604
352523367,648,9903037598,0.000299525162
391857504,720,10999417985,0.000296265858
430939820,792,12102070070,0.000266366115
468502538,864,13200790418,0.000200764093
509497036,936,14310539846,0.000252403253
549211492,1008,15411329369,0.000236615177
587473401,1080,16509086408,0.000237457245
626866184,1152,17609183208,0.000197415754
665814620,1224,18705651495,0.000240519783
705398072,1296,19808555990,0.000187306094
744552739,1368,20907701520,0.000170068281
782274790,1440,21997574840,0.000216409703
821329356,1512,23095776048,0.000260359028
861004833,1584,24197329309,0.000222792421
900664147,1656,25301889761,0.000184871017
939629521,1728,26402044344,0.000142958764
979460505,1800,27503925894,0.000187591696
1019406253,1872,28605873378,0.000185937544
1059179608,1944,29710947549,0.000172431350
1098186521,2016,30809755053,0.000148962181
1137310318,2088,31909834782,0.000159437212
1176427223,2160,33009606833,0.000163923047
1215962896,2232,34109708347,0.000131717601
1255491252,2304,35210414789,0.000149184787
1294855586,2376,36304848912,0.000102713249
1335365433,2448,37410968434,0.000136584490
1375756130,2520,38517606207,0.000166265885
1415250158,2592,39619785183,0.000128254566
1453906646,2664,40715126788,0.000133093354
1492494950,2736,41810155556,0.000144122041
1530241119,2808,42903228518,0.000104186084
1566164468,2880,43991560980,0.000105400383
1603733845,2952,45083056180,0.000115516271
1642455144,3024,46181524860,0.000103951825
1681357276,3096,47284120788,0.000103205435
1720185607,3168,48386469303,0.000089879040
1758434871,3240,49480798964,0.000138345718
1795927159,3312,50570173870,0.000091957548
1835181181,3384,51673010185,0.000099284843
1875637099,3456,52782895206,0.000119476180
1915845340,3528,53887850922,0.000109597646
1956335439,3600,54995279927,0.000120441907
1996599488,3672,56102804987,0.000122625804
2037181004,3744,57207976356,0.000128829244
2077733925,3816,58313428683,0.000097412624
2117686128,3888,59416341739,0.000118174962
-2137400158,3960,60522277405,0.000112020259
-2098968384,4032,61621473844,0.000115502640
-2062092471,4104,62713134328,0.000096906129
-2025070563,4176,63809376810,0.000094647710
-1987229420,4248,64904978442,0.000087774063
-1949451269,4320,66003298697,0.000088549310
-1911183464,4392,67105028229,0.000092912505
-1872976381,4464,68203387201,0.000097403524
-1834248282,4536,69308805006,0.000109418573
-1794775229,4608,70416465190,0.000089932850
-1755684953,4680,71521163702,0.000093467933
-1715999955,4752,72623407346,0.000104187532
-1675185967,4824,73732229013,0.000095111236
-1635430696,4896,74837279199,0.000114573058
-1595702507,4968,75936772852,0.000123678328
-1556057408,5040,77038056035,0.000121593358
-1516922967,5112,78136072354,0.000107134137
-1478249905,5184,79235648780,0.000097585698
-1439556765,5256,80330506370,0.000094693305
-1401012545,5328,81427316714,0.000092620981
-1361951554,5400,82527076303,0.000117433929
-1322791529,5472,83627386527,0.000094276837
-1284116306,5544,84724559153,0.000086247329
-1245266269,5616,85821516041,0.000095414153
-1206368546,5688,86919201061,0.000087285179
-1166767239,5760,88019106320,0.000088706963
-1126045500,5832,89129551772,0.000079689850
-1085229883,5904,90242497076,0.000086278552
-1044496405,5976,91355174782,0.000090356292
-1004499482,6048,92459199859,0.000082613870
-965084933,6120,93557589554,0.000081834719
-925490173,6192,94656984365,0.000089451084
-885382546,6264,95762374762,0.000080367717
-845578483,6336,96865316336,0.000078577733
-805898452,6408,97966456622,0.000082698245
-765915783,6480,99073922779,0.000084244561
-726785369,6552,100178163227,0.000090419752
-687990116,6624,101276771764,0.000081426638
-649056279,6696,102378710254,0.000087313907
-610306112,6768,103474125979,0.000086265359
-571472510,6840,104572424607,0.000084207780
-532366553,6912,105675318344,0.000089211782
-494059880,6984,106773368827,0.000086015392
-455787887,7056,107873214552,0.000094100222
-417998185,7128,108966829337,0.000079546788
-379999569,7200,110055253507,0.000075304732
